Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,21.870001,22.120001,21.73,22.110001,1421500,22.110001
2016-09-30,21.57,21.90,21.41,21.860001,1767100,21.860001
2016-09-29,21.690001,21.92,21.540001,21.549999,1354700,21.549999
2016-09-28,21.379999,21.77,21.370001,21.76,1334700,21.76
2016-09-27,21.280001,21.559999,21.129999,21.290001,1479900,21.290001
2016-09-26,21.23,21.559999,21.10,21.35,1297600,21.35
2016-09-23,21.200001,21.52,21.120001,21.32,1169300,21.32
2016-09-22,21.059999,21.34,21.059999,21.25,1041300,21.25
2016-09-21,20.49,20.92,20.450001,20.879999,1791400,20.879999
2016-09-20,21.299999,21.33,20.450001,20.540001,1836800,20.540001
2016-09-19,21.540001,21.690001,21.209999,21.35,1475600,21.35
2016-09-16,20.969999,21.43,20.91,21.41,2544700,21.41
2016-09-15,21.02,21.35,20.889999,21.17,1048200,21.17
2016-09-14,21.08,21.209999,20.91,21.07,1258600,21.07
2016-09-13,21.35,21.50,20.969999,21.120001,1514700,21.120001
2016-09-12,20.950001,21.629999,20.92,21.58,2267300,21.58
2016-09-09,21.620001,21.700001,21.110001,21.120001,2059700,21.120001
2016-09-08,21.690001,21.83,21.00,21.76,3903600,21.76
2016-09-07,20.629999,21.85,20.629999,21.809999,6500200,21.809999
2016-09-06,20.700001,20.76,20.110001,20.16,1248100,20.02
2016-09-02,20.559999,20.66,20.43,20.66,1153800,20.516528
2016-09-01,20.25,20.60,20.10,20.379999,1807200,20.238472
2016-08-31,20.49,20.52,20.17,20.26,1945100,20.119306
2016-08-30,20.43,20.530001,20.370001,20.48,1469900,20.337778
2016-08-29,20.84,20.879999,20.309999,20.43,2695300,20.288126
2016-08-26,21.15,21.32,20.780001,20.889999,1215800,20.744931
2016-08-25,21.50,21.60,21.01,21.049999,1589400,20.903819
2016-08-24,21.389999,21.799999,21.370001,21.49,1612100,21.340764
2016-08-23,21.440001,21.709999,21.42,21.450001,1685000,21.301043
2016-08-22,21.49,21.49,21.200001,21.360001,776200,21.211668
2016-08-19,21.299999,21.60,21.280001,21.49,1578800,21.340764
2016-08-18,21.370001,21.52,21.219999,21.299999,1397600,21.152083
2016-08-17,21.33,21.43,21.190001,21.35,1594800,21.201737
2016-08-16,21.35,21.41,21.209999,21.34,904500,21.191806
2016-08-15,21.07,21.450001,21.00,21.370001,1366300,21.221599
2016-08-12,21.049999,21.17,20.889999,20.950001,1102100,20.804515
2016-08-11,21.01,21.26,21.00,21.15,1139700,21.003125
2016-08-10,21.139999,21.209999,20.889999,20.93,1499900,20.784654
2016-08-09,21.17,21.360001,21.07,21.110001,1230400,20.963404
2016-08-08,21.549999,21.639999,21.139999,21.23,1809100,21.08257
2016-08-05,21.10,21.58,21.049999,21.48,2130900,21.330833
2016-08-04,21.120001,21.299999,20.84,20.950001,2566000,20.804515
2016-08-03,20.940001,21.309999,20.82,21.120001,2030600,20.973335
2016-08-02,21.66,21.67,20.889999,20.91,1707100,20.764792
2016-08-01,21.809999,21.879999,21.66,21.719999,1933900,21.569167
2016-07-29,22.040001,22.049999,21.60,21.90,1832700,21.747917
2016-07-28,22.629999,22.629999,22.01,22.120001,1980100,21.96639
2016-07-27,22.889999,23.190001,22.629999,22.65,2435500,22.492709
2016-07-26,25.25,25.26,22.870001,23.00,3616900,22.840278
2016-07-25,24.82,25.299999,24.719999,25.00,1880400,24.82639
2016-07-22,24.549999,24.85,24.549999,24.85,688400,24.677432
2016-07-21,24.59,24.75,24.469999,24.559999,602700,24.389445
2016-07-20,24.450001,24.610001,24.27,24.52,569300,24.349723
2016-07-19,24.450001,24.51,24.24,24.35,852400,24.180904
2016-07-18,24.43,24.629999,24.34,24.530001,1571300,24.359654
2016-07-15,24.469999,24.48,24.280001,24.43,754800,24.260348
2016-07-14,24.370001,24.50,24.15,24.40,964200,24.230556
2016-07-13,24.42,24.49,24.120001,24.15,1041800,23.982292
2016-07-12,23.90,24.280001,23.83,24.24,993600,24.071667
2016-07-11,23.75,23.91,23.58,23.83,1246400,23.664514
2016-07-08,23.65,23.959999,23.610001,23.639999,1906100,23.475833
2016-07-07,22.90,23.42,22.90,23.40,1510500,23.2375
2016-07-06,22.469999,22.959999,22.190001,22.959999,1691900,22.800555
2016-07-05,23.299999,23.299999,22.440001,22.549999,1244100,22.393403
2016-07-01,23.17,23.67,23.040001,23.290001,1642500,23.128265
2016-06-30,22.549999,23.18,22.450001,23.17,2619300,23.009098
2016-06-29,22.190001,22.50,21.99,22.469999,2484600,22.313958
2016-06-28,21.959999,22.280001,21.700001,22.01,2012900,21.857154
2016-06-27,21.780001,21.91,21.60,21.77,2721300,21.61882
2016-06-24,22.02,22.120001,21.75,21.98,2675000,21.827361
2016-06-23,22.700001,22.91,22.639999,22.91,849400,22.750903
2016-06-22,22.35,22.700001,22.32,22.469999,994200,22.313958
2016-06-21,22.629999,22.68,22.16,22.41,1251000,22.254375
2016-06-20,22.540001,22.74,22.440001,22.57,1355600,22.413264
2016-06-17,22.200001,22.49,22.17,22.26,2479800,22.105417
2016-06-16,22.35,22.379999,21.91,22.280001,1600700,22.125279
2016-06-15,22.360001,22.76,22.299999,22.450001,1685600,22.294099
2016-06-14,22.280001,22.360001,21.870001,22.33,2363700,22.174931
2016-06-13,21.790001,22.15,21.639999,21.92,2048500,21.767778
2016-06-10,21.73,22.219999,21.379999,21.91,4951600,21.757848
2016-06-09,22.43,22.60,22.200001,22.50,1276500,22.343751
2016-06-08,22.67,22.719999,22.52,22.559999,1231100,22.403333
2016-06-07,22.90,22.969999,22.620001,22.65,1269400,22.492709
2016-06-06,22.780001,23.030001,22.709999,22.84,886800,22.68139
2016-06-03,23.219999,23.219999,22.66,22.84,1185800,22.68139
2016-06-02,22.68,23.309999,22.60,23.299999,2533400,23.138194
2016-06-01,22.690001,22.809999,22.58,22.719999,1388900,22.562222
2016-05-31,22.860001,23.09,22.700001,22.959999,1374300,22.661527
2016-05-27,22.549999,22.84,22.49,22.790001,1356100,22.493739
2016-05-26,22.559999,22.780001,22.42,22.530001,1377700,22.237118
2016-05-25,22.59,22.790001,22.34,22.52,1630000,22.227248
2016-05-24,22.51,22.620001,22.27,22.58,2433600,22.286468
2016-05-23,22.530001,22.60,22.34,22.370001,2041800,22.079199
2016-05-20,22.379999,22.82,22.23,22.57,1000300,22.276598
2016-05-19,22.15,22.33,21.83,22.219999,1248000,21.931147
2016-05-18,22.309999,22.48,22.10,22.280001,1644100,21.990368
2016-05-17,22.51,22.879999,22.35,22.41,1147200,22.118678
2016-05-16,22.84,22.85,22.379999,22.60,1625600,22.306208
2016-05-13,22.60,23.129999,22.58,22.799999,2008800,22.503607
2016-05-12,23.17,23.32,22.290001,22.610001,1715900,22.316078
2016-05-11,22.889999,23.27,22.879999,23.10,1613700,22.799708
2016-05-10,22.860001,23.030001,22.76,23.01,1256200,22.710878
2016-05-09,22.879999,22.98,22.74,22.809999,1214100,22.513477
2016-05-06,22.709999,23.030001,22.57,22.93,1060000,22.631918
2016-05-05,22.83,23.02,22.59,22.84,1257800,22.543088
2016-05-04,22.85,22.99,22.530001,22.73,1545700,22.434517
2016-05-03,23.18,23.18,22.879999,23.049999,1583500,22.750357
2016-05-02,23.43,23.52,23.10,23.389999,1332400,23.085937
2016-04-29,23.52,23.540001,23.190001,23.360001,2514000,23.056329
2016-04-28,23.129999,24.00,23.040001,23.530001,3836400,23.224119
2016-04-27,24.07,24.07,22.73,23.35,4371800,23.046458
2016-04-26,24.07,24.290001,23.860001,24.02,2167100,23.707749
2016-04-25,23.74,24.040001,23.639999,24.00,2031100,23.688008
2016-04-22,23.719999,24.129999,23.65,23.84,1705700,23.530088
2016-04-21,24.209999,24.370001,23.639999,23.719999,2049200,23.411648
2016-04-20,24.27,24.290001,23.950001,24.200001,1524500,23.885409
2016-04-19,23.99,24.860001,23.959999,24.299999,1952300,23.984108
2016-04-18,23.51,23.950001,23.469999,23.92,1475000,23.609048
2016-04-15,23.48,23.719999,23.34,23.620001,1215900,23.312949
2016-04-14,23.73,23.76,23.309999,23.51,1093600,23.204378
2016-04-13,22.889999,23.90,22.889999,23.790001,2122400,23.480739
2016-04-12,22.799999,22.969999,22.65,22.690001,1363100,22.395038
2016-04-11,22.809999,23.07,22.73,22.73,1251000,22.434517
2016-04-08,22.73,23.02,22.58,22.68,1097600,22.385168
2016-04-07,22.83,23.030001,22.299999,22.469999,2731600,22.177897
2016-04-06,22.280001,23.01,22.24,22.959999,1476500,22.661527
2016-04-05,22.15,22.42,22.02,22.25,1928200,21.960758
2016-04-04,22.889999,23.549999,22.309999,22.379999,2605300,22.089067
