Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,46.93,47.939999,46.889999,47.82,1771400,47.82
2016-09-30,46.849998,47.360001,46.470001,47.150002,1862700,47.150002
2016-09-29,47.669998,47.669998,46.700001,46.720001,1278000,46.720001
2016-09-28,47.450001,47.779999,46.93,47.740002,829100,47.740002
2016-09-27,46.990002,47.669998,46.990002,47.389999,955800,47.389999
2016-09-26,46.959999,47.369999,46.759998,47.099998,997900,47.099998
2016-09-23,47.389999,47.439999,47.189999,47.310001,804900,47.310001
2016-09-22,47.439999,47.709999,47.150002,47.560001,1084700,47.560001
2016-09-21,46.68,47.32,46.619999,47.27,1077500,47.27
2016-09-20,46.82,46.950001,46.369999,46.580002,1099700,46.580002
2016-09-19,47.23,47.32,46.450001,46.650002,1831400,46.550002
2016-09-16,47.790001,47.790001,46.900002,47.060001,2010600,46.959123
2016-09-15,47.450001,48.099998,47.169998,47.98,1712000,47.877149
2016-09-14,48.16,48.349998,47.380001,47.490002,1467700,47.388201
2016-09-13,48.779999,48.799999,47.950001,48.189999,1016500,48.086698
2016-09-12,48.77,49.220001,48.360001,49.139999,1734800,49.034662
2016-09-09,49.880001,50.279999,49.080002,49.080002,2069100,48.974793
2016-09-08,50.23,50.52,50.060001,50.240002,1278400,50.132306
2016-09-07,50.02,50.470001,49.849998,50.400002,1558600,50.291963
2016-09-06,50.830002,50.93,49.93,50.209999,1101300,50.102368
2016-09-02,50.310001,51.099998,50.060001,50.860001,1453900,50.750976
2016-09-01,49.32,50.139999,49.130001,49.860001,1365800,49.75312
2016-08-31,49.139999,49.349998,48.889999,49.25,934200,49.144427
2016-08-30,48.759998,49.200001,48.529999,49.18,770100,49.074577
2016-08-29,48.560001,49.16,48.450001,48.919998,1052000,48.815132
2016-08-26,48.380001,48.990002,48.16,48.560001,1137100,48.455907
2016-08-25,48.060001,48.349998,47.93,48.279999,599200,48.176505
2016-08-24,48.529999,48.689999,47.990002,48.09,1199700,47.986913
2016-08-23,48.709999,48.790001,48.48,48.610001,814000,48.505799
2016-08-22,48.080002,48.52,47.990002,48.50,827700,48.396034
2016-08-19,48.080002,48.459999,48.029999,48.25,994200,48.14657
2016-08-18,48.27,48.77,48.150002,48.259998,1668400,48.156547
2016-08-17,47.639999,48.240002,47.419998,48.119999,1676900,48.016848
2016-08-16,48.00,48.02,47.279999,47.650002,1678100,47.547858
2016-08-15,48.830002,48.889999,48.040001,48.169998,1133900,48.06674
2016-08-12,48.689999,49.200001,48.009998,48.830002,1670800,48.725329
2016-08-11,48.700001,48.970001,48.439999,48.540001,1055200,48.43595
2016-08-10,48.41,48.77,47.990002,48.639999,1532800,48.535734
2016-08-09,48.57,48.790001,48.23,48.290001,1493800,48.186485
2016-08-08,49.299999,49.509998,48.490002,48.57,1657400,48.465884
2016-08-05,49.189999,49.790001,49.110001,49.32,1585400,49.214276
2016-08-04,49.50,50.07,48.849998,48.98,2074600,48.875005
2016-08-03,48.560001,49.459999,48.360001,49.459999,1476800,49.353976
2016-08-02,49.549999,49.849998,48.48,48.57,2412600,48.465884
2016-08-01,50.849998,50.889999,49.619999,49.790001,2339000,49.68327
2016-07-29,52.369999,52.369999,50.73,50.919998,1834400,50.810845
2016-07-28,51.400002,52.32,50.919998,52.299999,2674700,52.187888
2016-07-27,53.84,54.389999,50.73,51.330002,4707800,51.21997
2016-07-26,55.970001,56.540001,55.779999,56.43,1530900,56.309036
2016-07-25,55.470001,55.959999,55.23,55.950001,917900,55.830065
2016-07-22,55.09,55.560001,54.810001,55.560001,733300,55.440902
2016-07-21,55.619999,55.700001,54.75,54.970001,679800,54.852166
2016-07-20,55.259998,55.759998,55.200001,55.619999,825500,55.500771
2016-07-19,54.66,55.209999,54.66,55.060001,663000,54.941974
2016-07-18,54.790001,54.970001,54.650002,54.889999,609100,54.772336
2016-07-15,55.049999,55.150002,54.669998,54.75,685200,54.632637
2016-07-14,55.09,55.25,54.810001,54.880001,678600,54.762359
2016-07-13,54.810001,55.110001,54.59,54.619999,526600,54.502914
2016-07-12,54.560001,54.82,54.490002,54.720001,694000,54.602702
2016-07-11,54.360001,54.580002,54.240002,54.279999,602700,54.163643
2016-07-08,53.060001,54.049999,52.889999,54.009998,911900,53.894221
2016-07-07,52.490002,52.869999,52.380001,52.610001,1050200,52.497225
2016-07-06,52.400002,52.610001,52.209999,52.57,881600,52.45731
2016-07-05,52.709999,52.73,52.25,52.639999,729000,52.527159
2016-07-01,53.16,53.299999,52.73,52.849998,952200,52.736708
2016-06-30,51.470001,53.169998,51.439999,53.110001,1712100,52.996153
2016-06-29,51.130001,51.470001,50.849998,51.32,1279000,51.209989
2016-06-28,49.73,50.990002,49.68,50.810001,1802100,50.701084
2016-06-27,49.98,50.00,49.040001,49.25,1038700,49.144427
2016-06-24,51.049999,52.009998,50.360001,50.470001,2070800,50.361813
