Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,38.810001,38.810001,38.169998,38.630001,2634000,38.630001
2016-09-30,38.91,39.02,38.57,38.68,3706600,38.68
2016-09-29,39.389999,39.919998,38.599998,38.599998,3254400,38.599998
2016-09-28,39.59,40.02,39.119999,39.380001,3756200,39.380001
2016-09-27,38.439999,39.220001,38.200001,39.189999,3623900,39.189999
2016-09-26,39.200001,39.299999,38.400002,38.599998,4190900,38.599998
2016-09-23,39.939999,40.139999,39.330002,39.450001,3352700,39.450001
2016-09-22,39.810001,40.09,39.540001,39.900002,3308600,39.900002
2016-09-21,38.68,39.830002,38.52,39.610001,4019400,39.610001
2016-09-20,38.900002,39.00,38.529999,38.610001,2245400,38.610001
2016-09-19,39.18,39.220001,38.529999,38.740002,3975400,38.740002
2016-09-16,38.48,39.169998,38.290001,38.91,3515000,38.91
2016-09-15,38.18,38.639999,37.720001,38.560001,3694400,38.560001
2016-09-14,38.209999,38.84,38.00,38.25,3257400,38.25
2016-09-13,38.91,39.09,37.939999,38.330002,3836800,38.330002
2016-09-12,38.220001,39.349998,38.080002,39.259998,3730100,39.259998
2016-09-09,39.099998,39.330002,38.349998,38.360001,3274500,38.360001
2016-09-08,39.700001,40.150002,39.139999,39.349998,4163600,39.349998
2016-09-07,39.23,40.00,38.869999,39.919998,6232000,39.919998
2016-09-06,38.810001,39.290001,38.439999,38.93,6312200,38.93
2016-09-02,39.700001,39.75,38.52,38.560001,6595200,38.560001
2016-09-01,39.869999,39.889999,39.259998,39.75,3194700,39.75
2016-08-31,41.119999,41.119999,39.509998,39.630001,6529200,39.630001
2016-08-30,41.84,41.990002,41.240002,41.560001,3115400,41.560001
2016-08-29,42.099998,42.52,41.799999,42.110001,1946800,42.110001
2016-08-26,42.400002,42.549999,41.82,42.119999,2399500,42.119999
2016-08-25,43.150002,43.330002,41.93,42.23,3703400,42.23
2016-08-24,43.470001,43.849998,42.959999,43.150002,3303600,43.150002
2016-08-23,43.169998,43.720001,43.029999,43.59,2885700,43.59
2016-08-22,42.93,43.169998,42.549999,42.98,2620800,42.98
2016-08-19,42.240002,43.299999,42.189999,43.009998,4311800,43.009998
2016-08-18,41.52,42.119999,41.52,42.060001,2124100,42.060001
2016-08-17,42.330002,42.459999,41.41,41.669998,3467500,41.669998
2016-08-16,42.720001,42.82,42.279999,42.330002,3727100,42.330002
2016-08-15,41.310001,42.650002,41.310001,42.240002,4997800,42.240002
2016-08-12,40.98,41.549999,40.689999,41.09,3797400,41.09
2016-08-11,39.599998,41.279999,39.599998,40.939999,5867700,40.939999
2016-08-10,39.59,40.25,39.049999,39.09,2621500,39.09
2016-08-09,39.919998,40.060001,39.220001,39.310001,2909800,39.310001
2016-08-08,40.299999,40.869999,39.57,39.740002,3413100,39.740002
2016-08-05,39.310001,40.259998,39.130001,40.029999,3711800,40.029999
2016-08-04,38.98,39.419998,38.759998,38.950001,2364900,38.950001
2016-08-03,37.380001,39.189999,37.23,38.91,3994400,38.91
2016-08-02,39.380001,39.389999,37.91,37.970001,5453100,37.970001
2016-08-01,39.549999,39.91,39.220001,39.439999,3014300,39.439999
2016-07-29,39.57,39.869999,39.099998,39.459999,4152800,39.459999
2016-07-28,39.830002,40.029999,39.099998,39.650002,4356600,39.650002
2016-07-27,41.50,41.57,39.18,39.720001,9245600,39.720001
2016-07-26,43.50,44.68,40.540001,41.360001,17891900,41.360001
2016-07-25,42.849998,43.700001,42.189999,43.59,9363800,43.59
2016-07-22,42.48,42.939999,42.110001,42.849998,4005700,42.849998
2016-07-21,42.25,42.98,42.150002,42.639999,5066100,42.639999
2016-07-20,42.00,42.32,41.619999,42.16,3564000,42.16
2016-07-19,41.580002,41.950001,41.389999,41.919998,2412700,41.919998
2016-07-18,41.669998,41.950001,41.57,41.689999,3024100,41.689999
