Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,34.560001,34.950001,34.48,34.790001,1908400,34.790001
2016-09-30,34.52,34.919998,34.32,34.52,2780900,34.52
2016-09-29,34.630001,35.07,34.400002,34.43,1396900,34.43
2016-09-28,35.099998,35.27,34.16,34.580002,2085200,34.580002
2016-09-27,34.639999,35.599998,34.630001,35.130001,1882000,35.130001
2016-09-26,35.59,35.66,34.91,35.009998,2359000,35.009998
2016-09-23,35.720001,36.119999,35.619999,35.66,1351800,35.66
2016-09-22,36.080002,36.380001,35.25,35.73,2154300,35.73
2016-09-21,35.669998,35.849998,35.189999,35.759998,1818300,35.759998
2016-09-20,36.029999,36.07,35.52,35.619999,881600,35.619999
2016-09-19,35.939999,36.419998,35.700001,35.880001,1982700,35.880001
2016-09-16,36.330002,36.400002,35.880001,35.889999,2427200,35.889999
2016-09-15,35.740002,36.380001,35.52,36.360001,1480300,36.360001
2016-09-14,35.869999,36.049999,35.439999,35.880001,1184400,35.880001
2016-09-13,36.299999,36.43,35.439999,35.82,1706200,35.82
2016-09-12,35.709999,36.740002,35.529999,36.669998,2497900,36.669998
2016-09-09,36.009998,36.549999,35.799999,36.080002,2446700,36.080002
2016-09-08,35.639999,37.00,35.52,36.349998,3391700,36.349998
2016-09-07,35.849998,36.150002,35.200001,35.849998,3992300,35.849998
2016-09-06,36.279999,36.599998,35.009998,35.189999,3035200,35.189999
2016-09-02,35.810001,36.169998,35.23,36.099998,2355700,36.099998
2016-09-01,35.790001,35.869999,35.32,35.779999,2319600,35.779999
2016-08-31,36.299999,36.400002,35.66,35.849998,2557200,35.849998
2016-08-30,36.529999,36.889999,36.150002,36.23,2315300,36.23
2016-08-29,37.16,37.48,37.029999,37.169998,1665700,37.169998
2016-08-26,36.790001,37.459999,36.709999,37.220001,1955700,37.220001
2016-08-25,36.900002,37.349998,36.450001,36.779999,2929000,36.779999
2016-08-24,36.709999,37.220001,36.43,36.740002,2119800,36.740002
2016-08-23,37.029999,37.209999,36.470001,36.830002,1234800,36.830002
2016-08-22,37.049999,37.349998,36.419998,36.849998,2853500,36.849998
2016-08-19,36.799999,37.82,36.75,37.810001,3672200,37.810001
2016-08-18,36.689999,37.049999,35.849998,36.77,4051900,36.77
2016-08-17,35.369999,37.16,35.299999,36.049999,14049700,36.049999
2016-08-16,31.24,31.35,30.57,31.24,4227800,31.24
2016-08-15,31.309999,31.309999,30.73,31.24,2353800,31.24
2016-08-12,30.50,31.190001,30.219999,30.65,2034500,30.65
2016-08-11,30.639999,31.90,29.91,30.50,3999200,30.50
2016-08-10,29.469999,30.09,29.33,29.83,1942700,29.83
2016-08-09,30.01,30.09,29.129999,29.33,1630000,29.33
2016-08-08,30.219999,30.59,29.90,30.120001,1745200,30.120001
2016-08-05,29.440001,30.23,29.290001,30.15,1792200,30.15
2016-08-04,29.120001,29.620001,29.030001,29.16,1488200,29.16
2016-08-03,28.35,29.219999,27.82,29.139999,1565400,29.139999
2016-08-02,29.60,29.719999,28.559999,28.700001,1598800,28.700001
2016-08-01,30.00,30.15,29.360001,29.58,2042100,29.58
2016-07-29,29.66,30.00,29.17,29.90,1700500,29.90
2016-07-28,30.08,30.32,29.129999,29.790001,1899700,29.790001
2016-07-27,30.559999,30.809999,29.860001,30.110001,1962800,30.110001
2016-07-26,30.01,30.860001,30.00,30.459999,3022600,30.459999
2016-07-25,29.290001,30.290001,29.290001,29.969999,2365300,29.969999
2016-07-22,29.219999,29.49,28.870001,29.16,1443500,29.16
2016-07-21,29.60,29.90,29.18,29.32,1097500,29.32
2016-07-20,29.299999,29.799999,29.200001,29.700001,1188500,29.700001
2016-07-19,29.639999,29.83,29.049999,29.209999,900100,29.209999
2016-07-18,29.219999,29.950001,29.15,29.610001,2175100,29.610001
2016-07-15,29.26,29.50,28.969999,29.17,1112400,29.17
2016-07-14,29.67,29.67,29.02,29.16,1528800,29.16
2016-07-13,29.860001,30.040001,29.25,29.450001,1070900,29.450001
2016-07-12,29.67,30.24,29.540001,29.690001,1544000,29.690001
2016-07-11,29.280001,29.530001,29.200001,29.48,1464000,29.48
2016-07-08,28.33,29.18,28.26,29.09,1699300,29.09
2016-07-07,28.07,28.469999,27.870001,28.059999,1744400,28.059999
2016-07-06,27.379999,28.26,27.309999,28.17,3337000,28.17
2016-07-05,27.620001,27.76,27.24,27.610001,1827800,27.610001
2016-07-01,27.40,28.110001,27.370001,27.83,1923500,27.83
2016-06-30,26.940001,27.52,26.809999,27.50,1511600,27.50
