Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,113.32,113.620003,109.709999,110.699997,1490200,110.699997
2016-09-30,115.050003,115.449997,113.629997,113.730003,1647100,113.730003
2016-09-29,113.580002,116.209999,111.949997,114.889999,2405600,114.889999
2016-09-28,115.110001,119.32,114.290001,115.559998,1938300,115.559998
2016-09-27,113.620003,114.690002,112.830002,114.120003,1624300,114.120003
2016-09-26,111.230003,114.660004,110.669998,113.440002,1640900,113.440002
2016-09-23,112.480003,112.989998,111.529999,112.050003,1054900,112.050003
2016-09-22,111.349998,113.010002,110.940002,112.860001,1561000,112.860001
2016-09-21,107.900002,110.290001,106.82,109.959999,1197000,109.959999
2016-09-20,107.959999,107.959999,106.419998,107.099998,921300,107.099998
2016-09-19,109.129997,109.660004,107.18,107.550003,1089600,107.550003
2016-09-16,109.769997,110.139999,108.190002,108.339996,1823600,108.339996
2016-09-15,109.339996,110.279999,108.18,109.75,1125400,109.75
2016-09-14,109.50,110.629997,108.889999,109.099998,1231600,109.099998
2016-09-13,111.099998,111.650002,109.309998,109.889999,890500,109.889999
2016-09-12,107.360001,112.449997,107.089996,112.110001,1691300,112.110001
2016-09-09,110.379997,110.379997,107.07,107.870003,1509200,107.870003
2016-09-08,112.970001,113.419998,111.18,111.389999,1248200,111.389999
2016-09-07,112.959999,114.400002,112.459999,112.949997,874900,112.949997
2016-09-06,114.889999,115.120003,112.160004,112.959999,895700,112.959999
2016-09-02,113.440002,114.599998,112.739998,114.480003,909100,114.480003
2016-09-01,113.32,113.32,110.68,112.379997,1918800,112.379997
2016-08-31,116.099998,116.099998,113.43,113.870003,1037200,113.870003
2016-08-30,116.989998,116.989998,115.790001,116.230003,599300,116.230003
2016-08-29,116.00,117.559998,115.559998,116.849998,575900,116.849998
2016-08-26,117.830002,118.43,115.459999,116.080002,849000,116.080002
2016-08-25,120.209999,120.209999,117.019997,117.559998,1234000,117.559998
2016-08-24,119.110001,120.389999,118.809998,120.230003,1013500,120.230003
2016-08-23,119.209999,119.739998,118.779999,119.449997,765700,119.449997
2016-08-22,116.129997,119.139999,115.110001,118.910004,858600,118.910004
2016-08-19,117.559998,118.099998,115.989998,116.699997,1216700,116.499995
2016-08-18,117.07,118.669998,116.800003,118.099998,629800,117.897597
2016-08-17,117.870003,117.870003,114.540001,117.610001,1349100,117.408439
2016-08-16,119.709999,119.709999,117.57,118.019997,841500,117.817733
2016-08-15,119.410004,120.870003,118.940002,119.769997,892200,119.564733
2016-08-12,121.199997,121.699997,118.580002,118.919998,890700,118.716192
2016-08-11,121.760002,122.470001,120.720001,121.099998,1017200,120.892456
2016-08-10,120.269997,121.879997,119.879997,121.540001,1111000,121.331704
2016-08-09,120.379997,121.199997,119.199997,119.57,741600,119.365079
2016-08-08,119.120003,121.589996,119.040001,120.239998,1422000,120.033929
2016-08-05,118.080002,119.419998,117.989998,118.980003,954000,118.776094
2016-08-04,117.610001,118.419998,116.949997,117.699997,807600,117.498281
2016-08-03,116.800003,118.760002,115.919998,117.610001,1214900,117.408439
2016-08-02,116.010002,118.029999,115.089996,116.559998,2045300,116.360236
2016-08-01,121.110001,121.860001,115.650002,116.309998,4172700,116.110664
2016-07-29,126.779999,126.779999,123.50,123.980003,1602700,123.767525
2016-07-28,125.459999,127.199997,125.25,126.940002,549500,126.722451
2016-07-27,124.400002,126.190002,124.400002,125.660004,880800,125.444646
2016-07-26,124.559998,124.940002,123.440002,124.360001,1120700,124.146871
2016-07-25,126.010002,126.940002,124.980003,125.120003,885400,124.905571
2016-07-22,125.709999,126.68,125.489998,126.400002,548700,126.183376
2016-07-21,125.169998,125.639999,124.00,125.419998,917200,125.205052
2016-07-20,124.75,126.239998,123.940002,125.489998,649800,125.274932
2016-07-19,124.370003,125.029999,123.779999,124.610001,765700,124.396442
2016-07-18,124.879997,125.419998,123.889999,124.989998,655700,124.775788
2016-07-15,125.139999,125.610001,124.339996,124.800003,646900,124.586119
2016-07-14,126.43,126.849998,124.080002,124.730003,849400,124.51624
2016-07-13,126.269997,126.480003,125.529999,125.82,714700,125.604368
2016-07-12,125.040001,126.160004,124.25,125.669998,825400,125.454623
2016-07-11,125.720001,127.169998,123.599998,123.980003,764000,123.767525
2016-07-08,123.029999,124.279999,122.139999,123.610001,1323800,123.398156
2016-07-07,122.25,122.25,120.959999,121.809998,426400,121.601238
2016-07-06,119.00,121.830002,119.00,121.620003,912000,121.411569
2016-07-05,118.860001,119.93,118.370003,119.660004,647900,119.454929
2016-07-01,120.57,121.230003,119.040001,119.879997,1037200,119.674545
2016-06-30,118.949997,120.830002,118.370003,120.360001,1123200,120.153726
2016-06-29,116.589996,118.919998,116.330002,118.650002,558100,118.446658
2016-06-28,114.900002,115.800003,114.470001,115.599998,856900,115.401882
2016-06-27,117.309998,117.949997,113.260002,113.839996,1319900,113.644896
2016-06-24,114.470001,121.220001,114.449997,118.599998,3085300,118.39674
2016-06-23,117.00,119.080002,116.860001,119.040001,634500,118.835989
2016-06-22,116.239998,116.57,115.410004,115.790001,575400,115.591559
2016-06-21,115.370003,116.529999,115.230003,116.190002,898200,115.990875
2016-06-20,115.68,116.32,114.730003,115.220001,1020900,115.022536
2016-06-17,113.860001,114.230003,113.080002,113.989998,1002200,113.79464
2016-06-16,112.849998,114.480003,112.160004,114.080002,831700,113.88449
2016-06-15,114.480003,115.389999,113.540001,113.580002,827600,113.385347
2016-06-14,114.010002,114.459999,112.849998,114.169998,704600,113.974332
2016-06-13,115.050003,116.129997,114.239998,114.279999,826600,114.084144
2016-06-10,116.019997,116.120003,114.629997,115.489998,476200,115.29207
2016-06-09,117.529999,118.00,116.610001,116.830002,472900,116.629777
2016-06-08,117.489998,118.639999,116.779999,118.360001,694300,118.157154
2016-06-07,116.349998,117.849998,116.349998,117.07,498400,116.869364
2016-06-06,115.919998,116.870003,115.25,116.389999,507200,116.190529
2016-06-03,115.510002,116.029999,114.25,115.699997,723400,115.501709
2016-06-02,116.25,116.610001,114.669998,115.510002,1202400,115.31204
2016-06-01,116.010002,117.68,115.730003,117.019997,847300,116.819446
2016-05-31,118.150002,118.459999,115.889999,116.75,883300,116.549912
2016-05-27,119.199997,119.32,117.75,118.120003,1020800,117.917567
2016-05-26,120.07,120.400002,118.790001,119.260002,974000,119.055613
2016-05-25,119.309998,120.309998,119.309998,120.07,664700,119.864222
2016-05-24,118.470001,120.099998,117.559998,119.129997,941400,118.925831
2016-05-23,115.800003,118.099998,115.800003,117.57,800500,117.16885
2016-05-20,114.650002,116.18,114.629997,115.75,1134400,115.35506
2016-05-19,114.629997,114.870003,113.349998,113.889999,951200,113.501406
2016-05-18,115.199997,116.559998,114.870003,115.510002,496400,115.115881
2016-05-17,115.879997,116.480003,114.830002,115.650002,734800,115.255403
2016-05-16,116.43,117.57,116.080002,116.139999,846200,115.743729
2016-05-13,115.75,116.57,115.160004,115.639999,594300,115.245435
2016-05-12,116.019997,117.120003,114.919998,116.120003,841900,115.7238
2016-05-11,117.290001,118.00,115.150002,115.230003,840100,114.836838
2016-05-10,115.989998,117.690002,115.309998,117.589996,1024400,117.188778
2016-05-09,114.25,115.93,114.099998,115.57,760000,115.175674
2016-05-06,114.25,114.849998,112.510002,114.43,970900,114.039564
2016-05-05,113.279999,114.519997,112.199997,114.50,1441300,114.109325
2016-05-04,113.400002,114.110001,109.620003,112.260002,2293700,111.87697
2016-05-03,111.699997,114.209999,109.360001,113.730003,2746700,113.341956
2016-05-02,108.260002,109.480003,107.559998,109.059998,975200,108.687884
2016-04-29,108.190002,108.43,106.470001,107.629997,1006400,107.262763
2016-04-28,109.879997,110.959999,108.550003,108.68,1003600,108.309183
2016-04-27,109.43,111.150002,109.260002,110.839996,669000,110.461809
2016-04-26,109.550003,109.940002,108.290001,109.209999,702300,108.837374
2016-04-25,108.839996,109.160004,108.330002,109.059998,505300,108.687884
2016-04-22,108.239998,109.43,107.889999,108.889999,622400,108.518466
2016-04-21,109.239998,109.599998,107.879997,107.959999,642700,107.591639
2016-04-20,107.550003,109.599998,107.120003,108.709999,852200,108.33908
2016-04-19,108.309998,108.919998,107.220001,107.809998,641700,107.442149
2016-04-18,106.769997,108.339996,106.489998,108.080002,412000,107.711232
2016-04-15,106.639999,107.110001,106.269997,107.00,548400,106.634915
2016-04-14,107.00,107.00,106.120003,106.580002,824300,106.21635
2016-04-13,107.440002,107.57,105.050003,106.779999,1410500,106.415665
2016-04-12,106.480003,106.900002,105.769997,106.540001,1101300,106.176486
2016-04-11,109.080002,109.629997,106.470001,106.540001,1094300,106.176486
2016-04-08,106.919998,109.00,106.919998,108.00,1216600,107.631503
2016-04-07,105.959999,106.18,105.080002,105.849998,788400,105.488837
2016-04-06,105.550003,107.580002,105.470001,106.660004,1212700,106.296079
2016-04-05,104.849998,105.830002,104.610001,105.559998,894900,105.199826
2016-04-04,107.040001,107.040001,105.139999,106.00,784500,105.638327
2016-04-01,105.25,107.779999,104.980003,107.209999,1155800,106.844198
2016-03-31,105.68,106.779999,104.330002,105.57,1162600,105.209794
2016-03-30,106.040001,106.459999,104.650002,105.489998,664100,105.130065
2016-03-29,105.220001,106.760002,105.010002,105.93,678000,105.568566
2016-03-28,105.190002,106.220001,105.190002,105.589996,617300,105.229722
2016-03-24,104.400002,105.150002,104.040001,105.110001,534300,104.751364
2016-03-23,104.290001,105.589996,104.080002,104.599998,756000,104.243102
2016-03-22,104.480003,105.370003,104.18,104.949997,848000,104.591907
2016-03-21,105.419998,105.459999,104.379997,104.910004,674700,104.55205
2016-03-18,104.919998,105.690002,104.57,105.419998,1328200,105.060304
2016-03-17,103.220001,105.269997,103.040001,104.690002,1090000,104.332799
2016-03-16,103.309998,103.739998,102.459999,103.580002,1001500,103.226586
2016-03-15,102.830002,104.260002,102.300003,103.519997,799500,103.166786
2016-03-14,103.980003,104.360001,102.690002,103.75,1030100,103.396004
2016-03-11,104.199997,104.669998,102.940002,104.129997,736200,103.774705
2016-03-10,103.00,103.75,101.910004,103.220001,931600,102.867814
2016-03-09,103.230003,103.260002,101.580002,102.559998,1156200,102.210062
2016-03-08,101.839996,103.050003,100.610001,102.129997,1248500,101.781529
2016-03-07,101.32,103.169998,100.879997,103.019997,1123800,102.668492
2016-03-04,102.879997,103.370003,101.279999,101.760002,1255600,101.412796
2016-03-03,102.50,103.169998,101.230003,102.709999,1095500,102.359552
2016-03-02,101.169998,102.489998,100.300003,102.239998,1177200,101.891154
2016-03-01,99.760002,102.260002,98.279999,101.620003,1036900,101.273274
2016-02-29,98.980003,99.57,98.510002,98.529999,970200,98.193814
2016-02-26,99.269997,99.699997,98.459999,98.730003,1049600,98.393136
2016-02-25,97.300003,98.849998,96.059998,97.980003,655000,97.645695
2016-02-24,93.669998,97.839996,93.239998,97.349998,1514600,97.017839
2016-02-23,95.239998,96.260002,93.949997,94.480003,947700,94.157637
2016-02-22,94.68,96.82,94.68,96.050003,872200,95.72228
2016-02-19,93.779999,95.959999,92.260002,94.879997,924200,94.356951
2016-02-18,94.669998,95.510002,93.709999,94.120003,956000,93.601146
