Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,157.350006,159.570007,157.199997,159.050003,443500,159.050003
2016-09-30,156.979996,159.100006,156.440002,158.490005,422600,158.490005
2016-09-29,158.240005,158.240005,155.050003,156.339996,335900,156.339996
2016-09-28,159.369995,159.50,156.789993,158.240005,560400,158.240005
2016-09-27,156.509995,159.479996,156.509995,159.479996,705300,159.479996
2016-09-26,156.669998,157.729996,156.199997,156.779999,326100,156.779999
2016-09-23,157.910004,158.289993,156.910004,157.669998,353900,157.669998
2016-09-22,157.729996,158.240005,157.00,157.820007,332700,157.820007
2016-09-21,155.539993,156.970001,154.449997,156.720001,316600,156.720001
2016-09-20,156.039993,156.639999,155.00,155.089996,261800,155.089996
2016-09-19,154.389999,155.240005,153.75,154.679993,375300,154.679993
2016-09-16,155.25,155.789993,153.729996,153.889999,455100,153.889999
2016-09-15,153.080002,155.630005,152.690002,155.160004,337400,155.160004
2016-09-14,153.380005,154.229996,151.880005,152.889999,491300,152.889999
2016-09-13,152.270004,153.669998,150.649994,153.070007,667800,153.070007
2016-09-12,150.710007,153.639999,150.080002,153.440002,541800,153.440002
2016-09-09,157.990005,157.990005,151.110001,151.130005,840000,151.130005
2016-09-08,158.860001,160.259995,158.619995,159.490005,371600,159.490005
2016-09-07,156.820007,159.369995,156.220001,159.229996,832000,159.229996
2016-09-06,156.800003,157.100006,155.929993,156.690002,411800,156.690002
2016-09-02,156.929993,157.600006,155.240005,156.190002,573200,156.190002
2016-09-01,157.419998,158.25,155.770004,156.100006,489600,156.100006
2016-08-31,157.220001,157.610001,155.949997,157.309998,455300,157.309998
2016-08-30,158.889999,159.220001,157.429993,157.520004,350700,157.520004
2016-08-29,158.25,159.600006,158.119995,158.899994,276100,158.899994
2016-08-26,158.559998,159.479996,157.369995,158.210007,400800,158.210007
2016-08-25,158.149994,159.229996,157.039993,158.110001,362100,158.110001
2016-08-24,161.660004,162.320007,157.720001,157.990005,727500,157.990005
2016-08-23,161.00,162.529999,160.789993,161.820007,432600,161.820007
2016-08-22,160.039993,160.830002,159.470001,160.779999,343300,160.779999
2016-08-19,158.589996,160.460007,158.229996,160.259995,575800,160.259995
2016-08-18,158.00,159.589996,157.309998,159.100006,364500,159.100006
2016-08-17,158.779999,158.779999,157.800003,158.490005,407900,158.490005
2016-08-16,158.460007,158.899994,158.080002,158.229996,227500,158.229996
2016-08-15,158.550003,159.910004,158.279999,159.139999,356000,159.139999
2016-08-12,158.850006,158.850006,157.669998,158.25,268500,158.25
2016-08-11,158.679993,159.429993,157.869995,159.300003,288500,159.300003
2016-08-10,158.259995,158.660004,157.009995,158.509995,368000,158.509995
2016-08-09,157.380005,158.649994,157.149994,158.270004,291900,158.270004
2016-08-08,156.860001,157.600006,156.25,157.389999,404700,157.389999
2016-08-05,158.470001,158.539993,156.699997,157.25,382800,157.25
2016-08-04,157.490005,158.789993,156.380005,157.449997,760300,157.449997
2016-08-03,157.449997,157.919998,156.339996,157.199997,646700,157.199997
2016-08-02,159.529999,159.539993,156.449997,157.210007,707700,157.210007
2016-08-01,158.899994,161.220001,158.880005,159.580002,610900,159.580002
2016-07-29,157.220001,159.460007,156.929993,158.929993,496800,158.929993
2016-07-28,157.309998,157.589996,155.889999,157.059998,507200,157.059998
2016-07-27,155.089996,158.00,154.580002,157.399994,773400,157.399994
2016-07-26,151.649994,159.460007,151.360001,155.089996,1474600,155.089996
2016-07-25,149.00,149.179993,147.190002,148.440002,585900,148.440002
2016-07-22,149.460007,150.199997,149.149994,149.399994,324500,149.399994
2016-07-21,150.300003,150.929993,148.669998,149.460007,302900,149.460007
2016-07-20,149.009995,150.899994,148.139999,150.580002,296200,150.580002
2016-07-19,148.470001,148.949997,147.649994,148.789993,241000,148.789993
2016-07-18,149.00,149.220001,148.130005,148.929993,134900,148.929993
2016-07-15,149.820007,149.820007,148.369995,148.830002,413300,148.830002
2016-07-14,149.160004,149.600006,148.070007,149.270004,252100,149.270004
2016-07-13,151.440002,151.440002,147.220001,147.919998,271900,147.919998
2016-07-12,146.490005,147.679993,146.119995,147.610001,416900,147.610001
2016-07-11,147.130005,147.199997,145.199997,145.779999,229200,145.779999
2016-07-08,143.669998,146.960007,143.610001,146.529999,485500,146.529999
2016-07-07,142.740005,143.300003,141.889999,142.470001,300700,142.470001
2016-07-06,141.110001,142.839996,141.110001,142.649994,403100,142.649994
2016-07-05,141.330002,142.149994,140.759995,141.520004,427100,141.520004
2016-07-01,140.580002,143.729996,140.50,142.070007,756700,142.070007
2016-06-30,134.410004,140.75,134.389999,140.649994,814100,140.649994
2016-06-29,134.789993,135.289993,134.169998,134.649994,481600,134.649994
2016-06-28,133.210007,134.350006,132.339996,133.990005,355700,133.990005
2016-06-27,134.160004,134.779999,131.350006,132.50,458600,132.50
2016-06-24,135.00,137.149994,134.710007,135.529999,968900,135.529999
2016-06-23,138.570007,139.119995,137.550003,138.399994,345200,138.399994
2016-06-22,136.190002,138.00,136.190002,137.229996,341400,137.229996
2016-06-21,136.679993,137.259995,135.75,136.100006,269200,136.100006
2016-06-20,136.070007,137.589996,135.520004,136.460007,379900,136.460007
2016-06-17,135.559998,136.00,132.949997,134.020004,667300,134.020004
2016-06-16,134.479996,135.610001,133.580002,135.369995,267400,135.369995
2016-06-15,136.240005,136.600006,134.889999,134.990005,385600,134.990005
2016-06-14,135.00,136.240005,133.600006,135.910004,520700,135.910004
2016-06-13,137.690002,137.979996,135.559998,135.630005,383900,135.630005
2016-06-10,138.740005,139.110001,137.529999,138.039993,283400,138.039993
2016-06-09,139.449997,140.699997,139.350006,140.050003,342000,140.050003
2016-06-08,138.029999,139.839996,137.550003,139.679993,293900,139.679993
2016-06-07,138.490005,138.940002,137.740005,138.210007,203300,138.210007
2016-06-06,138.259995,139.369995,137.440002,138.779999,279900,138.779999
2016-06-03,139.149994,139.149994,137.399994,138.380005,322800,138.380005
2016-06-02,138.130005,140.110001,138.130005,139.759995,623700,139.759995
2016-06-01,137.080002,138.839996,136.559998,138.460007,315800,138.460007
2016-05-31,137.720001,138.270004,136.649994,137.550003,708000,137.550003
2016-05-27,136.710007,137.600006,136.589996,137.449997,192900,137.449997
2016-05-26,137.309998,137.520004,136.470001,136.710007,187100,136.710007
2016-05-25,137.679993,138.320007,137.110001,137.610001,280700,137.610001
2016-05-24,135.610001,138.050003,134.259995,137.559998,545600,137.559998
2016-05-23,135.259995,135.880005,134.169998,135.110001,359900,135.110001
2016-05-20,135.729996,136.020004,134.660004,135.440002,1327600,135.440002
2016-05-19,134.399994,135.059998,133.429993,134.919998,418400,134.919998
2016-05-18,134.470001,136.080002,134.020004,135.050003,419000,135.050003
