Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,30.809999,30.93,30.41,30.629999,4291800,30.629999
2016-09-30,30.790001,30.969999,30.389999,30.73,6703500,30.73
2016-09-29,30.85,30.879999,30.049999,30.389999,10114800,30.389999
2016-09-28,30.83,31.07,30.02,31.00,9112500,31.00
2016-09-27,30.040001,30.709999,29.83,30.65,6915100,30.65
2016-09-26,30.620001,31.040001,30.23,30.360001,6612300,30.360001
2016-09-23,30.52,31.00,30.16,30.34,4607400,30.34
2016-09-22,31.27,31.299999,30.52,30.66,4939800,30.66
2016-09-21,30.25,31.110001,30.24,30.99,8335300,30.99
2016-09-20,29.879999,30.15,29.719999,29.75,5819900,29.75
2016-09-19,30.17,30.51,29.889999,30.00,5223400,30.00
2016-09-16,29.33,30.00,29.299999,29.76,13203000,29.76
2016-09-15,29.93,30.280001,29.719999,29.84,5372900,29.84
2016-09-14,29.540001,30.16,29.32,29.74,9018600,29.74
2016-09-13,29.879999,30.280001,29.68,29.75,8797400,29.75
2016-09-12,29.719999,30.639999,29.52,30.42,8581700,30.42
2016-09-09,29.85,30.65,29.780001,30.040001,14000800,30.040001
2016-09-08,30.59,31.43,30.309999,31.15,13071000,31.15
2016-09-07,29.17,30.52,29.01,30.34,13727100,30.34
2016-09-06,28.469999,29.299999,28.469999,29.16,12124500,28.96
2016-09-02,28.40,28.75,28.17,28.40,5900200,28.205212
2016-09-01,27.77,28.23,27.50,28.15,12462500,27.956927
2016-08-31,27.940001,28.10,27.549999,27.940001,8161400,27.748368
2016-08-30,28.379999,28.379999,27.83,28.01,6001700,27.817888
2016-08-29,27.73,28.209999,27.620001,28.059999,6221900,27.867544
2016-08-26,28.040001,28.200001,27.50,27.83,6801800,27.639122
2016-08-25,28.00,28.25,27.719999,27.870001,6170300,27.678849
2016-08-24,28.40,28.49,27.870001,28.059999,10596100,27.867544
2016-08-23,27.57,28.690001,27.41,28.559999,13232300,28.364115
2016-08-22,27.24,27.91,26.889999,27.43,11178700,27.241866
2016-08-19,27.950001,28.00,27.43,27.68,13763300,27.490151
2016-08-18,26.15,29.09,26.129999,28.110001,22242900,27.917202
2016-08-17,26.110001,26.450001,25.67,26.059999,5567600,25.881262
2016-08-16,26.620001,26.99,26.23,26.290001,7913300,26.109686
2016-08-15,26.440001,26.780001,26.34,26.59,6664200,26.407627
2016-08-12,26.25,26.49,25.959999,26.209999,7407700,26.030232
2016-08-11,25.90,26.40,25.52,26.32,11634100,26.139479
2016-08-10,25.75,25.92,25.02,25.389999,8524100,25.215857
2016-08-09,25.959999,26.18,25.780001,25.83,11038400,25.65284
2016-08-08,25.860001,26.23,25.67,25.93,11629700,25.752154
