Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,20.74,20.77,20.559999,20.610001,4388900,20.610001
2016-09-30,20.57,20.91,20.52,20.82,6330800,20.82
2016-09-29,20.40,20.59,20.299999,20.49,5407600,20.49
2016-09-28,20.35,20.530001,20.139999,20.50,3747900,20.50
2016-09-27,20.27,20.43,20.200001,20.26,3758200,20.26
2016-09-26,20.190001,20.469999,20.18,20.27,3256500,20.27
2016-09-23,20.25,20.469999,20.219999,20.299999,3147500,20.299999
2016-09-22,20.290001,20.389999,20.18,20.32,2787900,20.32
2016-09-21,19.90,20.219999,19.879999,20.190001,3202700,20.190001
2016-09-20,19.969999,20.00,19.790001,19.83,5134000,19.83
2016-09-19,20.27,20.32,19.90,20.00,3860800,20.00
2016-09-16,20.370001,20.389999,20.200001,20.33,6295600,20.33
2016-09-15,20.27,20.49,20.25,20.32,3766700,20.32
2016-09-14,20.459999,20.51,20.24,20.299999,2794200,20.299999
2016-09-13,20.83,20.870001,20.48,20.57,3508400,20.409999
2016-09-12,20.540001,21.02,20.50,20.969999,3930900,20.806887
2016-09-09,21.18,21.190001,20.75,20.75,3737900,20.588599
2016-09-08,21.549999,21.620001,21.23,21.309999,3671700,21.144243
2016-09-07,21.76,21.799999,21.629999,21.77,2677000,21.600666
2016-09-06,21.65,21.780001,21.57,21.76,3781100,21.590743
2016-09-02,21.50,21.76,21.49,21.610001,2256800,21.441911
2016-09-01,21.52,21.57,21.32,21.42,2894600,21.253388
2016-08-31,21.50,21.540001,21.389999,21.52,2482800,21.35261
2016-08-30,21.49,21.60,21.459999,21.559999,2273700,21.392298
2016-08-29,21.59,21.620001,21.440001,21.459999,2600700,21.293076
2016-08-26,21.540001,21.799999,21.469999,21.610001,3819000,21.441911
2016-08-25,21.360001,21.50,21.309999,21.48,3017000,21.312921
2016-08-24,21.379999,21.620001,21.33,21.440001,6521600,21.273233
2016-08-23,21.49,21.49,21.32,21.370001,4177700,21.203778
2016-08-22,21.15,21.43,21.09,21.41,3507100,21.243465
2016-08-19,21.00,21.209999,20.969999,21.200001,3075700,21.0351
2016-08-18,21.030001,21.15,20.950001,21.08,2526800,20.916032
