Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,30.799999,31.309999,30.77,31.110001,2380100,31.110001
2016-09-30,30.629999,31.18,30.43,31.02,2910100,31.02
2016-09-29,30.92,31.35,30.370001,30.52,3227700,30.52
2016-09-28,30.610001,30.85,30.23,30.85,2115700,30.85
2016-09-27,29.85,30.450001,29.639999,30.41,2343900,30.41
2016-09-26,30.280001,30.60,29.799999,30.02,3805400,30.02
2016-09-23,30.23,30.85,30.00,30.610001,2981800,30.610001
2016-09-22,30.120001,30.299999,30.01,30.280001,2429100,30.280001
2016-09-21,30.00,30.200001,29.629999,29.99,2774700,29.99
2016-09-20,30.23,30.33,29.84,29.870001,2730400,29.870001
2016-09-19,30.10,30.360001,29.77,29.90,2367500,29.90
2016-09-16,30.030001,30.209999,29.85,29.90,2979600,29.90
2016-09-15,30.049999,30.440001,29.91,30.35,2726500,30.35
2016-09-14,30.219999,30.48,29.969999,30.040001,3950100,30.040001
2016-09-13,30.52,30.77,29.860001,30.25,5134300,30.25
2016-09-12,30.219999,31.02,30.059999,30.940001,3328700,30.940001
2016-09-09,30.690001,31.280001,30.57,30.57,4368100,30.57
2016-09-08,30.709999,31.00,30.40,30.690001,1916500,30.690001
2016-09-07,30.40,30.620001,30.049999,30.58,1801600,30.58
2016-09-06,31.040001,31.059999,30.08,30.389999,4522100,30.389999
2016-09-02,30.76,31.059999,30.43,30.969999,4086700,30.969999
2016-09-01,30.75,30.90,30.23,30.57,4353000,30.57
2016-08-31,30.43,30.620001,29.969999,30.59,3538600,30.59
2016-08-30,29.950001,30.379999,29.950001,30.33,2169400,30.33
2016-08-29,29.75,30.26,29.629999,30.01,2690200,30.01
2016-08-26,29.530001,29.860001,29.219999,29.67,3867100,29.67
2016-08-25,29.209999,29.549999,28.950001,29.42,2147600,29.42
2016-08-24,29.18,29.49,28.75,29.280001,1746400,29.280001
2016-08-23,29.40,29.52,29.110001,29.280001,2068400,29.280001
2016-08-22,29.02,29.290001,28.969999,29.26,2141100,29.26
2016-08-19,28.99,29.27,28.969999,29.23,2248600,29.23
2016-08-18,28.59,29.120001,28.290001,29.08,2365200,29.08
2016-08-17,28.559999,28.84,28.540001,28.690001,1893000,28.690001
2016-08-16,28.469999,28.84,28.08,28.639999,1847400,28.639999
2016-08-15,28.27,28.719999,28.16,28.629999,1636200,28.549999
2016-08-12,28.059999,28.15,27.77,28.139999,1530700,28.061369
2016-08-11,28.389999,28.49,28.07,28.280001,1724100,28.200979
2016-08-10,28.780001,28.83,28.25,28.309999,2309000,28.230894
2016-08-09,28.799999,28.98,28.639999,28.799999,2198300,28.719524
2016-08-08,29.00,29.190001,28.690001,28.74,2270200,28.659693
2016-08-05,28.049999,28.950001,27.98,28.889999,3665100,28.809273
2016-08-04,27.40,27.780001,27.35,27.73,2558200,27.652515
2016-08-03,27.00,27.48,26.75,27.469999,2691200,27.393241
2016-08-02,27.40,27.610001,26.74,27.040001,3136900,26.964444
2016-08-01,27.90,28.01,27.24,27.35,3850600,27.273577
2016-07-29,27.969999,28.15,27.700001,27.879999,3359100,27.802095
2016-07-28,27.879999,28.379999,27.60,28.139999,4783300,28.061369
2016-07-27,27.60,28.35,27.309999,27.98,7550900,27.901816
2016-07-26,26.360001,26.790001,26.00,26.59,4056800,26.515701
2016-07-25,26.370001,26.41,26.120001,26.299999,2370900,26.22651
2016-07-22,26.15,26.41,25.780001,26.309999,2927800,26.236482
2016-07-21,26.040001,26.27,25.67,26.00,2775800,25.927349
2016-07-20,25.940001,26.059999,25.65,25.969999,2123900,25.897432
2016-07-19,25.790001,26.110001,25.620001,25.879999,1854500,25.807684
2016-07-18,26.00,26.09,25.74,25.860001,2414100,25.787741
2016-07-15,26.25,26.27,25.90,26.01,2257700,25.937321
